fips,NAME,mcc,households,housing_units,population,peak,ratio_hh,base_repaired,corrupt_outage
51530,"Buena Vista city, Virginia",1.0,2655,2941,6639,1930,0.0003766478342749529,3514.0,False
37089,"Henderson County, North Carolina",24.0,49494,56744,116469,131460,0.0004849072614862408,65506.0,True
53069,"Wahkiakum County, Washington",1.0,1954,2200,4476,5,0.0005117707267144319,2586.0,False
51820,"Waynesboro city, Virginia",6.0,9431,10288,22341,9737,0.0006361997667267522,12482.0,False
56027,"Niobrara County, Wyoming",4.0,1072,1325,2460,683,0.0037313432835820895,1419.0,False
51678,"Lexington city, Virginia",16.0,1991,2525,7346,1952,0.00803616273229533,2635.0,False
37001,"Alamance County, North Carolina",925.0,67370,74055,171779,26704,0.013730146949680867,89166.0,False
37129,"New Hanover County, North Carolina",2544.0,99975,114625,228134,114738,0.0254463615903976,132319.0,False
48243,"Jeff Davis County, Texas",44.0,1095,1810,1992,2358,0.04018264840182648,1449.0,True
37063,"Durham County, North Carolina",6008.0,135469,145518,325101,67952,0.044349629804604745,179296.0,False
48043,"Brewster County, Texas",222.0,4958,5923,9454,5368,0.04477611940298507,6562.0,False
37181,"Vance County, North Carolina",863.0,16123,19392,42492,15555,0.0535260187310054,21339.0,False
48377,"Presidio County, Texas",131.0,2275,3396,6168,4221,0.05758241758241758,3011.0,True
37119,"Mecklenburg County, North Carolina",28172.0,446584,481307,1115403,116836,0.06308331691238378,591063.0,False
56043,"Washakie County, Wyoming",265.0,3414,3856,7725,2699,0.0776215582893966,4518.0,False
16023,"Butte County, Idaho",81.0,1024,1285,2605,1044,0.0791015625,1355.0,False
4023,"Santa Cruz County, Arizona",1340.0,16651,18811,47838,19353,0.08047564710828178,22038.0,False
37183,"Wake County, North Carolina",46622.0,430497,466760,1132103,119303,0.1082980833780491,569771.0,False
37037,"Chatham County, North Carolina",3797.0,31131,34190,76754,17868,0.121968455879991,41202.0,False
37035,"Catawba County, North Carolina",8165.0,64442,71047,161011,30796,0.12670308184103535,85290.0,False
37125,"Moore County, North Carolina",5708.0,41782,48595,100759,40736,0.13661385285529654,55299.0,False
25019,"Nantucket County, Massachusetts",680.0,4659,12287,14065,13193,0.14595406739643701,6166.0,True
48443,"Terrell County, Texas",70.0,436,659,862,755,0.16055045871559634,577.0,True
