USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
RI	4400105140	01220084	Barrington town	A	21198328	18699186	8.185	7.22	41.733037	-71.319676
RI	4400109280	01220083	Bristol town	A	25352632	27927497	9.789	10.783	41.67573	-71.273331
RI	4400173760	01220057	Warren town	A	15949813	6732451	6.158	2.599	41.725138	-71.258805
RI	4400318640	01220082	Coventry town	A	152969594	8666762	59.062	3.346	41.698325	-71.662734
RI	4400322240	01220085	East Greenwich town	A	42413289	629590	16.376	0.243	41.637327	-71.501456
RI	4400374300	01220058	Warwick city	F	90651872	38201407	35.001	14.75	41.703085	-71.42031
RI	4400377720	01220059	West Greenwich town	A	130269418	2598306	50.297	1.003	41.628605	-71.658874
RI	4400378440	01220060	West Warwick town	A	20284600	590046	7.832	0.228	41.679601	-71.521114
RI	4400500000	00000000	County subdivisions not defined	F	0	330539964	0.	127.622	41.410279	-71.302719
RI	4400536820	01220061	Jamestown town	A	24469391	66991102	9.448	25.865	41.51973	-71.371076
RI	4400542400	01220062	Little Compton town	A	53214256	21427333	20.546	8.273	41.502861	-71.165808
RI	4400545460	01220063	Middletown town	A	32891674	5406460	12.7	2.087	41.520152	-71.280198
RI	4400549960	01220064	Newport city	F	19828477	9630691	7.656	3.718	41.476681	-71.319627
RI	4400557880	01220065	Portsmouth town	A	59635472	94130601	23.025	36.344	41.59214	-71.283576
RI	4400570880	01220066	Tiverton town	A	75254509	18875638	29.056	7.288	41.606983	-71.182634
RI	4400711800	01220081	Burrillville town	A	142228409	5397022	54.915	2.084	41.970291	-71.69866
RI	4400714140	01220067	Central Falls city	F	3092443	208466	1.194	0.08	41.890064	-71.393481
RI	4400719180	01220069	Cranston city	F	73413574	4331474	28.345	1.672	41.769734	-71.485049
RI	4400720080	01220068	Cumberland town	A	68601210	4683753	26.487	1.808	41.96746	-71.420572
RI	4400722960	01220071	East Providence city	F	34406029	8602870	13.284	3.322	41.800433	-71.359258
RI	4400727460	01220072	Foster town	A	131446005	2835602	50.752	1.095	41.788784	-71.734934
RI	4400730340	01220070	Glocester town	A	140463699	6914230	54.233	2.67	41.894324	-71.686905
RI	4400737720	01220073	Johnston town	A	60806166	2281435	23.477	0.881	41.82744	-71.519879
RI	4400741500	01220074	Lincoln town	A	46812461	2117796	18.074	0.818	41.915455	-71.449815
RI	4400751760	01219763	North Providence town	A	14598075	318958	5.636	0.123	41.861587	-71.456879
RI	4400752480	01219815	North Smithfield town	A	61899990	2495010	23.9	0.963	41.975186	-71.544069
RI	4400754640	01219816	Pawtucket city	F	22447898	770318	8.667	0.297	41.874824	-71.373323
RI	4400759000	01220076	Providence city	F	47670949	5643960	18.406	2.179	41.823056	-71.418784
RI	4400764220	01220077	Scituate town	A	124665549	17111431	48.134	6.607	41.811538	-71.63278
RI	4400766200	01219817	Smithfield town	A	67938931	3673454	26.231	1.418	41.900945	-71.52889
RI	4400780780	01220079	Woonsocket city	F	20061063	484431	7.746	0.187	42.001708	-71.499947
RI	4400914500	01220080	Charlestown town	A	94641259	59366507	36.541	22.922	41.371368	-71.680337
RI	4400925300	01220087	Exeter town	A	148804442	2411410	57.454	0.931	41.569431	-71.627921
RI	4400935380	01220092	Hopkinton town	A	111385175	3313033	43.006	1.279	41.479072	-71.757934
RI	4400948340	01220093	Narragansett town	A	35911187	61848426	13.865	23.88	41.398044	-71.486262
RI	4400950500	01220043	New Shoreham town	A	23521379	260101284	9.082	100.426	41.194642	-71.572377
RI	4400951580	01220088	North Kingstown town	A	111808792	39629489	43.17	15.301	41.571527	-71.449907
RI	4400961160	01220089	Richmond town	A	104433008	1119929	40.322	0.432	41.494707	-71.669309
RI	4400967460	01220090	South Kingstown town	A	145998461	60361219	56.37	23.306	41.410847	-71.547469
RI	4400977000	01220091	Westerly town	A	76323893	116618435	29.469	45.027	41.323428	-71.802458
