USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
NH	33001965100	129578162	11880041	50.03	4.587	43.6511696	-71.6135268
NH	33001965200	35332773	27838428	13.642	10.748	43.6557882	-71.4426578
NH	33001965300	68459834	9700756	26.432	3.745	43.6080811	-71.5500813
NH	33001965400	122695138	5894757	47.373	2.276	43.5241863	-71.6016068
NH	33001965598	28865157	2063526	11.145	0.797	43.4712114	-71.5764584
NH	33001965600	149961213	4431033	57.9	1.711	43.4315902	-71.366322
NH	33001965700	111524823	4866664	43.06	1.879	43.348588	-71.2568961
NH	33001965801	35268103	4524152	13.617	1.747	43.4744551	-71.4822076
NH	33001965802	42284243	499214	16.326	0.193	43.4554725	-71.4514896
NH	33001965900	4016175	20952	1.551	0.008	43.5201193	-71.4574838
NH	33001966000	17717755	6171305	6.841	2.383	43.561852	-71.4986019
NH	33001966100	16596459	4731767	6.408	1.827	43.5765351	-71.4822628
NH	33001966200	13050193	5242476	5.039	2.024	43.5918678	-71.4528247
NH	33001966401	13390141	37862182	5.17	14.619	43.6110999	-71.3675435
NH	33001966403	30712734	16542	11.858	0.006	43.5448852	-71.4300836
NH	33001966404	56351906	343036	21.758	0.132	43.5194993	-71.3758377
NH	33001966501	102423206	27136513	39.546	10.477	43.4740823	-71.2518495
NH	33001966502	62552130	23317377	24.152	9.003	43.5120927	-71.2261592
NH	33003955101	277506441	815349	107.146	0.315	44.1721655	-71.2549813
NH	33003955102	143978918	659594	55.591	0.255	44.0474989	-71.234278
NH	33003955301	217192956	1495138	83.859	0.577	44.127498	-71.0606912
NH	33003955302	34684177	1175043	13.392	0.454	44.0246879	-71.1300866
NH	33003955401	20339129	684877	7.853	0.264	43.960576	-71.11062
NH	33003955402	54599088	3904766	21.081	1.508	43.9741828	-71.0366058
NH	33003955500	162625007	9540228	62.79	3.684	43.8899143	-71.1065239
NH	33003955601	310220635	9433528	119.777	3.642	43.8330999	-71.4054563
NH	33003955602	274019033	3429820	105.799	1.324	43.9594503	-71.2742511
NH	33003955801	100423901	2962199	38.774	1.144	43.7467328	-71.0419102
NH	33003955802	89961659	8215955	34.734	3.172	43.8420363	-71.0751609
NH	33003955901	91850399	11476026	35.464	4.431	43.7709369	-71.1815047
NH	33003955902	90683892	961733	35.013	0.371	43.6899318	-71.1034396
NH	33003956000	161723224	14706900	62.442	5.678	43.5847334	-71.0436631
NH	33003956101	53753559	8848120	20.754	3.416	43.6193534	-71.2182748
