legacy_county_fips,legacy_county_name,planning_region_fips,planning_region_name,planning_town_name,pous_city_name,pous_tracked_customers_2019q1,pilot_customer_density,pilot_within_county_relative_rate,planning_cousub_geoid,gazetteer_name,gazetteer_land_area_sq_m,gazetteer_lat,gazetteer_lon,bridge_status,bridge_note
09001,Fairfield,09120,Greater Bridgeport Planning Region,Bridgeport,Bridgeport,60475.0,1453.4939964749376,0.4365241367778956,0912008070,Bridgeport town,41606639,41.187393,-73.195757,matched,
09001,Fairfield,09120,Greater Bridgeport Planning Region,Easton,Easton,2964.0,41.73114649735873,0.5949979747111229,0912023890,Easton town,71026086,41.264945,-73.300479,matched,
09001,Fairfield,09120,Greater Bridgeport Planning Region,Fairfield,Fairfield,24168.0,312.0554181913176,1.5131054051355493,0912026620,Fairfield town,77447782,41.17594,-73.272046,matched,
09001,Fairfield,09120,Greater Bridgeport Planning Region,Fairfield,Southport,1.0,,0.0,0912026620,Fairfield town,77447782,41.17594,-73.272046,pous_city_alias,PoUS city/cell alias; mapped to Fairfield town for planning-region bridge.
09001,Fairfield,09120,Greater Bridgeport Planning Region,Monroe,Monroe,7948.0,117.70900946654125,3.0507254064288407,0912048620,Monroe town,67522444,41.339236,-73.222828,matched,
09001,Fairfield,09120,Greater Bridgeport Planning Region,Stratford,Stratford,23623.0,521.757748692287,0.7736401928365586,0912074190,Stratford town,45275801,41.205688,-73.127986,matched,
09001,Fairfield,09120,Greater Bridgeport Planning Region,Trumbull,Trumbull,13954.0,231.8359429580572,0.3982938396969828,0912077200,Trumbull town,60189114,41.272891,-73.211899,matched,
09001,Fairfield,09140,Naugatuck Valley Planning Region,Shelton,Shelton,18447.5,232.52668034890334,1.211498509550186,0914068170,Shelton town,79334982,41.304577,-73.139215,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Bethel,Bethel,8843.0,201.35164951014602,0.9592560398912141,0919004720,Bethel town,43918190,41.369778,-73.389503,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Brookfield,Brookfield,8395.0,164.23520312226478,0.4668044630407775,0919008980,Brookfield town,51115716,41.470402,-73.39476,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Danbury,Danbury,37236.0,342.06879876628875,1.0859165909930424,0919018500,Danbury town,108855295,41.398741,-73.478103,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Darien,Darien,8084.0,246.6552643019168,1.0923386336938874,0919018850,Darien town,32774488,41.05215,-73.479714,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Greenwich,Greenwich,28166.0,227.8845363440479,0.7435760690684224,0919033620,Greenwich town,123597680,41.045366,-73.634018,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,New Canaan,New Canaan,8459.0,147.15378588297838,2.6697297748174926,0919050580,New Canaan town,57484080,41.160393,-73.500124,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,New Fairfield,New Fairfield,6097.0,115.27706190476542,0.8765542682359235,0919050860,New Fairfield town,52889967,41.480318,-73.486863,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Newtown,Newtown,11401.0,76.5187022755619,3.548381637685046,0919052980,Newtown town,148996254,41.399503,-73.293982,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Norwalk,Norwalk,31357.0,529.0067865107638,0.97672282243675,0919056060,Norwalk town,59275232,41.092739,-73.419796,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Redding,Redding,3830.0,46.97821350391078,1.2353763787786354,0919063480,Redding town,81527153,41.305415,-73.392584,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Ridgefield,Ridgefield,10925.0,122.26462830808775,1.1218668099543547,0919063970,Ridgefield town,89355361,41.317675,-73.499837,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Sherman,Sherman,1988.0,35.02614504397138,3.972541563475984,0919068310,Sherman town,56757602,41.579418,-73.49769,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Stamford,Stamford,60264.0,618.3758219075992,0.5003638710459312,0919073070,Stamford town,97455298,41.079611,-73.54608,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Weston,Weston,3868.0,75.54122121172493,1.726041453213768,0919083430,Weston town,51203832,41.227413,-73.367061,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Westport,Westport,12570.0,243.15619762203684,1.5784872515114012,0919083500,Westport town,51695166,41.120831,-73.343464,matched,
09001,Fairfield,09190,Western Connecticut Planning Region,Wilton,Wilton,7545.0,108.75401184468843,0.3008538245171716,0919086370,Wilton town,69376751,41.211277,-73.440977,matched,
09003,Hartford,09110,Capitol Planning Region,Avon,Avon,8702.0,145.07543664297106,2.279420192598072,0911002060,Avon town,59982587,41.787159,-72.852046,matched,
09003,Hartford,09110,Capitol Planning Region,Berlin,Berlin,9821.0,144.11424495720837,0.8189733750269905,0911004300,Berlin town,68147323,41.605451,-72.778497,matched,
09003,Hartford,09110,Capitol Planning Region,Bloomfield,Bloomfield,10601.0,156.90711840128859,2.4949974472667704,0911005910,Bloomfield town,67562263,41.843772,-72.741002,matched,
09003,Hartford,09110,Capitol Planning Region,Canton,Canton,5004.0,78.5847076326151,2.977495939984223,0911012270,Canton town,63676511,41.858726,-72.910862,matched,
09003,Hartford,09110,Capitol Planning Region,East Granby,East Granby,2648.0,58.27041610094337,4.59657186431391,0911022070,East Granby town,45443300,41.929719,-72.745378,matched,
