fips,mcc_raw,households,housing_units,peak,base,status,excluded,reason
1001,24619.0,22308.0,24457.0,15462.0,24619,mcc_ok,False,
1003,195253.0,90802.0,125113.0,126286.0,195253,mcc_ok,False,
1005,12400.0,9016.0,11673.0,5515.0,12400,mcc_ok,False,
1007,11037.0,7216.0,9046.0,8648.0,11037,mcc_ok,False,
1009,27074.0,21626.0,24677.0,13470.0,27074,mcc_ok,False,
1011,8727.0,3450.0,4541.0,3501.0,8727,mcc_ok,False,
1013,12325.0,7131.0,9835.0,8668.0,12325,mcc_ok,False,
1015,62182.0,44693.0,53167.0,30458.0,62182,mcc_ok,False,
1017,12749.0,13143.0,16427.0,4094.0,16427,housing_floor,False,
1019,24534.0,9997.0,14687.0,510.0,24534,mcc_ok,False,
1021,19414.0,16931.0,19546.0,23217.0,23217,peak_floor,False,
1023,7230.0,5228.0,7138.0,2858.0,7230,mcc_ok,False,
1025,21629.0,8188.0,11733.0,7796.0,21629,mcc_ok,False,
1027,5554.0,5485.0,7040.0,5175.0,7040,housing_floor,False,
1029,6993.0,5761.0,6818.0,9492.0,9492,peak_floor,False,
1031,31347.0,20363.0,24155.0,7772.0,31347,mcc_ok,False,
1033,33811.0,23266.0,27709.0,1.0,33811,mcc_ok,False,
1035,5906.0,4453.0,6451.0,762.0,6451,housing_floor,False,
1037,4170.0,3999.0,6045.0,6710.0,6710,peak_floor,False,
1039,30321.0,14194.0,18644.0,7212.0,30321,mcc_ok,False,
1041,8129.0,4839.0,6553.0,6211.0,8129,mcc_ok,False,
1043,59296.0,33649.0,39182.0,15511.0,59296,mcc_ok,False,
1045,25013.0,19400.0,22829.0,7463.0,25013,mcc_ok,False,
1047,19358.0,14753.0,18992.0,22935.0,22935,peak_floor,False,
1049,42548.0,25690.0,30716.0,512.0,42548,mcc_ok,False,
1051,38649.0,32184.0,36787.0,28606.0,38649,mcc_ok,False,
1053,18593.0,13022.0,16715.0,9643.0,18593,mcc_ok,False,
1055,54206.0,38791.0,47412.0,12692.0,54206,mcc_ok,False,
1057,7831.0,6143.0,7816.0,5915.0,7831,mcc_ok,False,
1059,21671.0,11239.0,13940.0,4842.0,21671,mcc_ok,False,
1061,11742.0,10391.0,12494.0,10055.0,12494,housing_floor,False,
1063,4217.0,2872.0,4271.0,1290.0,4271,housing_floor,False,
1065,7916.0,5403.0,7464.0,5262.0,7916,mcc_ok,False,
1067,8040.0,6686.0,9110.0,7533.0,9110,housing_floor,False,
1069,72388.0,41543.0,49339.0,23059.0,72388,mcc_ok,False,
1071,29336.0,20670.0,24706.0,846.0,29336,mcc_ok,False,
1073,372757.0,265794.0,308428.0,52800.0,372757,mcc_ok,False,
1075,6221.0,5168.0,7104.0,4982.0,7104,housing_floor,False,
1077,49361.0,38237.0,44705.0,26166.0,49361,mcc_ok,False,
1079,13082.0,12829.0,15270.0,2427.0,15270,housing_floor,False,
1081,63579.0,65166.0,75473.0,14390.0,75473,housing_floor,False,
1083,52376.0,38572.0,42616.0,314.0,52376,mcc_ok,False,
1085,5496.0,4001.0,4823.0,5304.0,5496,mcc_ok,False,
1087,15032.0,7131.0,9662.0,2815.0,15032,mcc_ok,False,
1089,198793.0,159569.0,171313.0,71413.0,198793,mcc_ok,False,
1091,11446.0,7379.0,9834.0,3045.0,11446,mcc_ok,False,
1093,14058.0,11018.0,14143.0,11879.0,14143,housing_floor,False,
1095,52022.0,35930.0,41328.0,826.0,52022,mcc_ok,False,
1097,110135.0,159605.0,184845.0,143114.0,184845,housing_floor,False,
1099,10522.0,7298.0,10214.0,6793.0,10522,mcc_ok,False,
1101,137566.0,89721.0,105488.0,29346.0,137566,mcc_ok,False,
1103,69963.0,48004.0,53324.0,12404.0,69963,mcc_ok,False,
1105,4481.0,3075.0,3985.0,4338.0,4481,mcc_ok,False,
1107,8654.0,7083.0,8714.0,10658.0,10658,peak_floor,False,
1109,27989.0,11996.0,16049.0,8316.0,27989,mcc_ok,False,
